"City, Province",Population,Latitude,Longitude
"Toronto, ON","2,794,356",43.65107,-79.347015
"Montreal, QC","1,762,949",45.50884,-73.58781
"Calgary, AB","1,306,784",51.044733,-114.071883
"Vancouver, BC","662,248",49.282729,-123.120738
"Winnipeg, MB","749,607",49.895136,-97.138374
"Halifax, NS","439,819",44.648618,-63.585948
"Moncton, NB","79,470",46.087816,-64.778231
"St. John's, NL","113,871",47.5615,-52.7126
"Charlottetown, PE","39,025",46.2382,-63.1311
"Regina, SK","226,404",50.445211,-104.618894
"Yellowknife, NT","20,340",62.454,-114.3718
"Iqaluit, NU","10,038",63.7467,-68.517
"Whitehorse, YT","28,703",60.7212,-135.0568
"Ottawa, ON","1,017,449",45.42153,-75.697193
"Edmonton, AB","1,010,899",53.546125,-113.493823
"Hamilton, ON","569,353",43.255721,-79.871102
"Quebec City, QC","549,459",46.813878,-71.207981
"London, ON","422,324",42.984923,-81.245277
"Saskatoon, SK","266,141",52.1579,-106.670045
"Windsor, ON","229,660",42.314937,-83.036363
"Sherbrooke, QC","172,950",45.404171,-71.892914
"Kelowna, BC","144,576",49.888,-119.496
"Abbotsford, BC","153,524",49.050438,-122.304469
"Kingston, ON","132,485",44.2312,-76.486
"Thunder Bay, ON","108,843",48.3809,-89.2477
"Saint John, NB","69,895",45.2733,-66.0633
"Fredericton, NB","63,116",45.9636,-66.6431
"Lethbridge, AB","101,482",49.6935,-112.8418
